id_municipio,municipio,sigla_uf,regiao,status_dominio_modelo,n_alunos,probabilidade_media_risco,carga_risco_estimada,taxa_sinalizada_risco,taxa_risco_real,taxa_alfabetizacao_real,rank_probabilidade_risco_geral,rank_carga_risco_geral,percentil_risco_modelo,faixa_risco_relativo
3551603,Serra Negra,SP,Sudeste,FORA_DOMINIO_UF,267,0.3508217551497598,93.66940862498586,0.0,0.3033707865168539,0.6966292134831461,3102,1438,0.43791915896320466,ate_P50
3512407,Cordeirópolis,SP,Sudeste,FORA_DOMINIO_UF,324,0.3502304953267053,113.47468048585252,0.0,0.3024691358024691,0.6975308641975309,3112,1182,0.43610657966286026,ate_P50
3517208,Guaiçara,SP,Sudeste,FORA_DOMINIO_UF,126,0.3501666574817829,44.120998842704644,0.0,0.3968253968253968,0.6031746031746031,3113,2596,0.43592532173282583,ate_P50
3549250,São João de Iracema,SP,Sudeste,FORA_DOMINIO_UF,18,0.3500568188186292,6.301022738735326,0.0,0.5555555555555556,0.4444444444444444,3116,5246,0.4353815479427225,ate_P50
3506706,Boa Esperança do Sul,SP,Sudeste,FORA_DOMINIO_UF,141,0.3499310591837566,49.34027934490968,0.0,0.4468085106382978,0.5531914893617021,3118,2407,0.43501903208265363,ate_P50
3513702,Descalvado,SP,Sudeste,FORA_DOMINIO_UF,233,0.3499186180815653,81.53103801300472,0.0,0.1931330472103004,0.8068669527896996,3119,1638,0.43483777415261915,ate_P50
3540804,Potirendaba,SP,Sudeste,FORA_DOMINIO_UF,196,0.3491416906325391,68.43177136397766,0.0,0.3775510204081632,0.6224489795918368,3128,1915,0.43320645278230924,ate_P50
3526605,Lavrinhas,SP,Sudeste,FORA_DOMINIO_UF,83,0.3489856344934684,28.96580766295788,0.0,0.5421686746987951,0.4578313253012048,3131,3336,0.4326626789922059,ate_P50
3517000,Getulina,SP,Sudeste,FORA_DOMINIO_UF,48,0.3488131534770041,16.743031366896197,0.0,0.3333333333333333,0.6666666666666666,3133,4222,0.43230016313213704,ate_P50
3536307,Patrocínio Paulista,SP,Sudeste,FORA_DOMINIO_UF,190,0.3477075706086123,66.06443841563633,0.0,0.331578947368421,0.6684210526315789,3155,1961,0.4283124886713794,ate_P50
3542800,Ribeira,SP,Sudeste,FORA_DOMINIO_UF,24,0.3475225873946475,8.34054209747154,0.0,0.4583333333333333,0.5416666666666666,3159,5039,0.4275874569512416,ate_P50
3508702,Caconde,SP,Sudeste,FORA_DOMINIO_UF,164,0.3473378632457977,56.96340957231082,0.0,0.2926829268292683,0.7073170731707317,3167,2173,0.4261373935109661,ate_P50
3527405,Lucélia,SP,Sudeste,FORA_DOMINIO_UF,152,0.3472134571102609,52.77644548075966,0.0,0.3157894736842105,0.6842105263157895,3168,2289,0.42595613558093165,ate_P50
3531902,Morro Agudo,SP,Sudeste,FORA_DOMINIO_UF,279,0.3470722906355821,96.8331690873274,0.0,0.5519713261648745,0.4480286738351254,3174,1395,0.424868588000725,ate_P50
3516903,General Salgado,SP,Sudeste,FORA_DOMINIO_UF,96,0.3468360280080064,33.29625868876862,0.0,0.3125,0.6875,3178,3076,0.42414355628058725,ate_P50
3533700,Ocauçu,SP,Sudeste,FORA_DOMINIO_UF,52,0.3465159952701816,18.018831754049444,0.0,0.0961538461538461,0.903846153846154,3189,4114,0.4221497190502084,ate_P50
3507902,Brotas,SP,Sudeste,FORA_DOMINIO_UF,216,0.3464987130097081,74.84372201009694,0.0,0.4398148148148148,0.5601851851851852,3191,1774,0.42178720319013957,ate_P50
3549706,São José do Rio Pardo,SP,Sudeste,FORA_DOMINIO_UF,415,0.346418629697277,143.76373132436996,0.0,0.3204819277108434,0.6795180722891566,3193,951,0.4214246873300707,ate_P50
3524501,Jaci,SP,Sudeste,FORA_DOMINIO_UF,97,0.3461294725922544,33.57455884144868,0.0,0.3298969072164948,0.6701030927835051,3198,3059,0.4205183976798985,ate_P50
3557204,Chavantes,SP,Sudeste,FORA_DOMINIO_UF,112,0.3460027498891088,38.75230798758018,0.0,0.4910714285714285,0.5089285714285714,3200,2829,0.4201558818198296,ate_P50
3515186,Espírito Santo do Pinhal,SP,Sudeste,FORA_DOMINIO_UF,292,0.3458422982547466,100.98595109038601,0.0,0.2397260273972602,0.7602739726027398,3204,1338,0.4194308500996919,ate_P50
3542404,Regente Feijó,SP,Sudeste,FORA_DOMINIO_UF,170,0.3458141788364881,58.78841040220297,0.0,0.3941176470588235,0.6058823529411764,3205,2127,0.4192495921696574,ate_P50
3552908,Taciba,SP,Sudeste,FORA_DOMINIO_UF,76,0.3452502053609284,26.239015607430556,0.0,0.3289473684210526,0.6710526315789473,3217,3502,0.41707449700924415,ate_P50
3513900,Divinolândia,SP,Sudeste,FORA_DOMINIO_UF,83,0.3451019542269157,28.643462200834,0.0,0.3855421686746988,0.6144578313253012,3221,3352,0.4163494652891064,ate_P50
3500600,Águas de São Pedro,SP,Sudeste,FORA_DOMINIO_UF,42,0.3445153811453967,14.469646008106661,0.0,0.1904761904761904,0.8095238095238095,3236,4439,0.41363059633858984,ate_P50
3539400,Piratininga,SP,Sudeste,FORA_DOMINIO_UF,102,0.3444401772280175,35.132898077257785,0.0,0.5588235294117647,0.4411764705882353,3238,2980,0.4132680804785209,ate_P50
3524105,Ituverava,SP,Sudeste,FORA_DOMINIO_UF,285,0.3441216768893461,98.07467791346363,0.0,0.4982456140350877,0.5017543859649123,3243,1372,0.41236179082834873,ate_P50
3522901,Itapuí,SP,Sudeste,FORA_DOMINIO_UF,147,0.3439952344828868,50.567299468984366,0.0,0.4693877551020408,0.5306122448979592,3245,2362,0.41199927496827987,ate_P50
3514601,Dumont,SP,Sudeste,FORA_DOMINIO_UF,87,0.3438912100695032,29.91853527604678,0.0,0.3563218390804598,0.6436781609195402,3249,3270,0.4112742432481421,ate_P50
3505104,Barbosa,SP,Sudeste,FORA_DOMINIO_UF,74,0.3437415954686081,25.436878064677,0.0,0.3513513513513513,0.6486486486486487,3252,3556,0.4107304694580388,ate_P50
3555000,Tupã,SP,Sudeste,FORA_DOMINIO_UF,536,0.343640221245099,184.19115858737308,0.0,0.4477611940298507,0.5522388059701493,3253,734,0.41054921152800433,ate_P50
3506904,Bofete,SP,Sudeste,FORA_DOMINIO_UF,115,0.3428644437515553,39.429411031428856,0.0,0.3130434782608696,0.6869565217391305,3269,2804,0.4076490846474533,ate_P50
3534906,Pacaembu,SP,Sudeste,FORA_DOMINIO_UF,80,0.3428341380462555,27.426731043700443,0.0,0.4625,0.5375,3270,3427,0.4074678267174189,ate_P50
3536802,Pedra Bela,SP,Sudeste,FORA_DOMINIO_UF,41,0.3427947807950781,14.054586012598202,0.0,0.5121951219512195,0.4878048780487805,3271,4479,0.40728656878738445,ate_P50
3537305,Penápolis,SP,Sudeste,FORA_DOMINIO_UF,535,0.342729027770439,183.36002985718488,0.0,0.3663551401869159,0.6336448598130842,3274,736,0.4067427949972811,ate_P50
3503158,Arapeí,SP,Sudeste,FORA_DOMINIO_UF,24,0.3426721860825006,8.224132465980015,0.0,0.625,0.375,3276,5054,0.40638027913721225,ate_P50
3511300,Cedral,SP,Sudeste,FORA_DOMINIO_UF,143,0.3425522946140533,48.98497812980962,0.0,0.4545454545454545,0.5454545454545454,3278,2427,0.4060177632771434,ate_P50
3546702,Santa Gertrudes,SP,Sudeste,FORA_DOMINIO_UF,290,0.3424011953335576,99.2963466467317,0.0,0.3586206896551724,0.6413793103448275,3281,1357,0.40547398948704005,ate_P50
3520400,Ilhabela,SP,Sudeste,FORA_DOMINIO_UF,410,0.3423739712395296,140.37332820820714,0.0,0.5658536585365853,0.4341463414634146,3283,964,0.4051114736269712,ate_P50
3538907,Pirajuí,SP,Sudeste,FORA_DOMINIO_UF,145,0.3422819893381617,49.630888454033446,0.0,0.5310344827586206,0.4689655172413793,3284,2399,0.40493021569693677,ate_P50
3523602,Itirapina,SP,Sudeste,FORA_DOMINIO_UF,160,0.3420489561390742,54.727832982251876,0.0,0.3,0.7,3287,2231,0.4043864419068334,ate_P50
3501509,Alvinlândia,SP,Sudeste,FORA_DOMINIO_UF,48,0.3419194333413216,16.412132800383436,0.0,0.0833333333333333,0.9166666666666666,3291,4259,0.40366141018669566,ate_P50
3516507,Gabriel Monteiro,SP,Sudeste,FORA_DOMINIO_UF,28,0.3416296815606087,9.565631083697044,0.0,0.1428571428571428,0.8571428571428571,3295,4924,0.4029363784665579,ate_P50
3551900,Severínia,SP,Sudeste,FORA_DOMINIO_UF,161,0.3415667951181154,54.992254014016574,0.0,0.391304347826087,0.6086956521739131,3300,2226,0.40203008881638574,ate_P50
3543709,Rincão,SP,Sudeste,FORA_DOMINIO_UF,89,0.34113936424413,30.36140341772757,0.0,0.2359550561797752,0.7640449438202247,3310,3238,0.40021750951604135,ate_P50
3510005,Cândido Mota,SP,Sudeste,FORA_DOMINIO_UF,268,0.3410663764759049,91.4057888955425,0.0,0.3208955223880597,0.6791044776119403,3313,1470,0.399673735725938,ate_P50
3502705,Apiaí,SP,Sudeste,FORA_DOMINIO_UF,263,0.3409904396399305,89.68048562530171,0.0,0.2547528517110266,0.7452471482889734,3315,1494,0.39931121986586915,ate_P50
3551306,Sebastianópolis do Sul,SP,Sudeste,FORA_DOMINIO_UF,34,0.3409236070433294,11.5914026394732,0.0,0.2352941176470588,0.7647058823529411,3318,4717,0.3987674460757658,ate_P50
3526308,Lagoinha,SP,Sudeste,FORA_DOMINIO_UF,63,0.340373445803714,21.44352708563398,0.0,0.3492063492063492,0.6507936507936508,3325,3854,0.39749864056552475,ate_P50
3523305,Itariri,SP,Sudeste,FORA_DOMINIO_UF,201,0.3403673982776535,68.41384705380835,0.0,0.3582089552238806,0.6417910447761194,3326,1917,0.3973173826354903,ate_P50
3504404,Avanhandava,SP,Sudeste,FORA_DOMINIO_UF,118,0.3403364133779046,40.159696778592746,0.0,0.2288135593220339,0.7711864406779662,3327,2768,0.39713612470545584,ate_P50
3507803,Brodowski,SP,Sudeste,FORA_DOMINIO_UF,239,0.3400345729915044,81.26826294496955,0.0,0.4602510460251046,0.5397489539748954,3333,1646,0.3960485771252492,ate_P50
3519105,Iacanga,SP,Sudeste,FORA_DOMINIO_UF,88,0.3398993104451591,29.911139319173998,0.0,0.0227272727272727,0.9772727272727272,3339,3271,0.3949610295450426,ate_P50
3546405,Santa Cruz do Rio Pardo,SP,Sudeste,FORA_DOMINIO_UF,388,0.3398013638869593,131.8429291881402,0.0,0.2938144329896907,0.7061855670103093,3340,1014,0.39477977161500816,ate_P50
3537008,Pedregulho,SP,Sudeste,FORA_DOMINIO_UF,170,0.3395996286985023,57.731936878745394,0.0,0.4823529411764706,0.5176470588235295,3345,2152,0.39387348196483596,ate_P50
3532900,Nova Europa,SP,Sudeste,FORA_DOMINIO_UF,86,0.3394442481833488,29.192205343767995,0.0,0.313953488372093,0.686046511627907,3346,3312,0.39369222403480153,ate_P50
3556701,Vinhedo,SP,Sudeste,FORA_DOMINIO_UF,660,0.3392802022496847,223.9249334847919,0.0,0.4409090909090909,0.5590909090909091,3347,612,0.3935109661047671,ate_P50
