id_municipio,populacao_2020,pib_por_habitante_2020,participacao_agropecuaria_2020,participacao_industria_2020,participacao_administracao_publica_2020,quantidade_escolas_anos_iniciais,proporcao_escolas_rurais,proporcao_internet_aprendizagem,proporcao_biblioteca_sala_leitura,proporcao_laboratorio_informatica,alunos_por_turma_anos_iniciais,razao_matriculas_docentes_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas
4126801,16345.0,31791.80177424289,0.20585755160475616,0.25056613468307853,0.17272442863388024,4.0,0.0,0.5,1.0,0.75,22.227272727272727,16.3,0.0010224948875255625,PR,Sul,0,0,1
4126900,5495.0,24251.319381255686,0.38708695965475554,0.05650255810788089,0.2343290871678263,3.0,0.3333333333333333,1.0,1.0,1.0,15.842105263157896,15.05,0.0,PR,Sul,0,0,1
4127007,12567.0,42104.718707726584,0.6192905589090895,0.04087739559397237,0.12332472129950431,6.0,0.3333333333333333,1.0,0.5,0.16666666666666669,17.23076923076923,11.389830508474576,0.002976190476190476,PR,Sul,0,0,1
4127106,79792.0,52896.029677160615,0.08099862454909974,0.5590598978895196,0.09878536646096836,23.0,0.043478260869565216,0.8695652173913042,0.8695652173913042,0.17391304347826084,22.75813953488372,20.645569620253166,0.14163090128755365,PR,Sul,0,0,1
4127205,17200.0,30705.232558139534,0.27018759361265027,0.20496975748696586,0.18017826304029333,6.0,0.0,0.8333333333333334,0.8333333333333334,0.0,21.647058823529413,15.123287671232877,0.0,PR,Sul,0,0,1
4127304,16924.0,21241.72772394233,0.24806413570607214,0.15169000291151638,0.25162559664028655,4.0,0.0,0.75,1.0,0.5,19.784313725490197,13.453333333333333,0.057482656095143705,PR,Sul,0,0,1
4127403,17522.0,52107.97854126241,0.4700198696429222,0.09454119455212227,0.10590484426829541,7.0,0.42857142857142855,1.0,0.7142857142857143,0.7142857142857143,20.892857142857142,13.928571428571429,0.05897435897435897,PR,Sul,0,0,1
4127502,20607.0,57406.997622167226,0.591220076482512,0.08614187824352003,0.10414905245879602,5.0,0.0,0.8,0.4,1.0,18.842105263157894,23.096774193548388,0.0,PR,Sul,0,0,1
4127601,17084.0,24605.0105361742,0.2368150993992213,0.132803032256401,0.21298249232911326,10.0,0.9,1.0,0.7999999999999999,0.0,19.08823529411765,17.30666666666667,0.0,PR,Sul,0,0,1
4127700,142645.0,47558.62455746784,0.15967192973772276,0.2619158291066066,0.12009154183713709,36.0,0.0,1.0,0.9722222222222222,1.0,21.301298701298702,15.502835538752363,0.07462504572613096,PR,Sul,0,0,1
4127809,7807.0,33550.531574228255,0.522057101112086,0.0836784201310999,0.16132195704910093,5.0,0.6,0.8,0.2,0.0,24.555555555555557,10.523809523809524,0.03167420814479638,PR,Sul,0,0,1
4127858,12038.0,36117.04602093371,0.46914982908998015,0.1211794616030265,0.1580449353461384,5.0,0.6,1.0,0.6,0.8,20.864864864864863,16.083333333333332,0.034974093264248704,PR,Sul,0,0,1
4127882,9022.0,13577.920638439371,0.20369119963988297,0.15117990269914644,0.36116449384511506,2.0,0.5,1.0,1.0,0.0,21.62962962962963,18.838709677419356,0.1284246575342466,PR,Sul,0,0,1
4127908,8533.0,29893.003632954413,0.5069830065892817,0.07334706950366185,0.18364715722474959,4.0,0.25,1.0,1.0,0.5,18.862068965517242,13.675,0.0,PR,Sul,0,0,1
4127957,8109.0,50964.85386607473,0.4502009440182524,0.06170132602120378,0.12664706067044135,3.0,0.0,1.0,1.0,0.0,16.0,11.675675675675675,0.0023148148148148147,PR,Sul,0,0,1
