id_municipio,sigla_uf,regiao,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10
1501402,PA,Norte,1,0,0,1,0,3,4,1,4
1501451,PA,Norte,1,2,1,3,1,5,2,0,5
1501501,PA,Norte,1,0,0,1,0,3,4,1,4
1501576,PA,Norte,1,2,1,3,1,5,2,0,5
1501600,PA,Norte,1,2,1,0,2,6,5,7,3
1501709,PA,Norte,1,2,1,3,1,5,2,0,5
1501725,PA,Norte,1,2,1,3,1,5,1,3,6
1501758,PA,Norte,1,2,1,3,1,5,2,0,5
1501782,PA,Norte,1,2,1,3,1,5,2,0,5
1501808,PA,Norte,1,2,1,3,1,5,2,0,5
1501907,PA,Norte,1,2,1,3,1,5,2,0,5
1501956,PA,Norte,1,2,1,3,1,5,2,0,5
1502004,PA,Norte,1,2,1,3,1,5,2,0,5
1502103,PA,Norte,1,2,1,3,1,5,2,0,5
1502152,PA,Norte,0,0,0,1,0,2,6,6,1
1502202,PA,Norte,1,2,1,3,1,5,2,0,5
1502301,PA,Norte,1,2,1,3,1,5,2,0,3
1502400,PA,Norte,1,0,1,3,1,3,4,1,4
1502509,PA,Norte,1,2,3,0,2,6,5,7,3
1502608,PA,Norte,1,2,1,3,5,5,2,0,5
1502707,PA,Norte,1,2,1,3,2,3,0,4,0
1502756,PA,Norte,1,2,1,3,1,5,2,0,5
1502764,PA,Norte,1,2,1,2,3,4,1,3,6
1502772,PA,Norte,0,0,0,1,0,2,6,6,1
1502806,PA,Norte,1,2,1,3,1,5,2,0,5
1502855,PA,Norte,1,2,1,3,1,5,2,0,3
1502905,PA,Norte,1,2,1,3,1,5,2,0,5
1502939,PA,Norte,1,2,1,3,1,5,2,0,5
1502954,PA,Norte,1,2,1,3,1,5,2,0,5
1503002,PA,Norte,1,2,3,0,5,5,2,0,3
1503044,PA,Norte,1,2,1,3,1,5,2,0,5
1503077,PA,Norte,1,2,1,3,1,5,2,0,3
1503093,PA,Norte,1,2,1,3,1,5,2,0,5
1503101,PA,Norte,1,2,1,3,1,5,2,0,5
1503200,PA,Norte,1,2,1,3,2,6,5,7,3
1503309,PA,Norte,1,2,1,3,1,5,2,0,5
1503408,PA,Norte,1,2,1,0,2,6,5,3,3
