id_municipio,populacao_2020,pib_por_habitante_2020,participacao_agropecuaria_2020,participacao_industria_2020,participacao_administracao_publica_2020,quantidade_escolas_anos_iniciais,proporcao_escolas_rurais,proporcao_internet_aprendizagem,proporcao_biblioteca_sala_leitura,proporcao_laboratorio_informatica,alunos_por_turma_anos_iniciais,razao_matriculas_docentes_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas,cluster_id,cluster_codigo,pca_1,pca_2,municipio,n_alunos,probabilidade_media_risco,taxa_risco_real,taxa_alfabetizacao_real,status_dominio_modelo
3132800,2056.0,15365.272373540856,0.172636504432069,0.0263287969156753,0.4842982831910897,1.0,0.0,0.0,1.0,1.0,18.6,18.6,0.0,MG,Sudeste,0,0,1,1,cluster_1,0.8310076028870268,-1.681837470607172,Itambé do Mato Dentro,12,0.4027981680545143,0.1666666666666666,0.8333333333333334,DOMINIO_FORTE
3132909,10157.0,20781.82534212858,0.3102971456255803,0.0444204449109774,0.2532904033267391,4.0,0.0,1.0,1.0,1.0,21.857142857142858,13.02127659574468,0.1470588235294117,MG,Sudeste,0,0,1,1,cluster_1,2.0650376177490126,-0.2414477688575344,Itamogi,104,0.3254334476883569,0.2019230769230769,0.7980769230769231,DOMINIO_FORTE
3133006,15714.0,65173.15769377625,0.0203502045354124,0.5795680763218783,0.0845626838086821,8.0,0.625,0.25,0.375,0.25,19.727272727272727,16.692307692307693,0.0,MG,Sudeste,0,0,1,0,cluster_0,0.6055240756725379,2.327054445466554,Itamonte,118,0.3916246449643357,0.1610169491525423,0.8389830508474576,DOMINIO_FORTE
3133105,15423.0,28146.85858782338,0.3825752313545421,0.1012305600035096,0.1767434152000604,2.0,0.1666666666666666,1.0,1.0,1.0,19.509375,14.630357142857145,0.0777051009025453,MG,Sudeste,0,0,2,1,cluster_1,2.5309459546772226,-0.112759724659817,Itanhandu,107,0.2923125954517314,0.1962616822429906,0.8037383177570093,DOMINIO_FORTE
3133204,12244.0,11443.155831427635,0.0930199610770182,0.0779652675768579,0.4151262759952576,4.0,0.25,0.0,0.75,0.5,17.9375,12.755555555555556,0.0818815331010452,MG,Sudeste,0,0,1,2,cluster_2,-0.4049981810972987,-0.8774200436899837,Itanhomi,111,0.3773955973427511,0.1441441441441441,0.8558558558558559,DOMINIO_FORTE
3133303,21029.0,13124.542298730325,0.0274699461102666,0.0555636708186107,0.3575988471939833,4.5,0.25,0.8125,0.875,0.625,21.83459595959596,17.509803921568626,0.0,MG,Sudeste,0,0,2,0,cluster_0,0.2278064752151931,0.3757864513282092,Itaobim,180,0.4061276889110938,0.4611111111111111,0.5388888888888889,DOMINIO_FORTE
3133402,15379.0,30913.583457962155,0.2660682986074371,0.240542579668674,0.1631511393068929,3.0,0.3333333333333333,1.0,1.0,0.6666666666666666,18.97058823529412,16.125,0.0,MG,Sudeste,0,0,1,1,cluster_1,2.114081124987319,0.567984935553584,Itapagipe,115,0.3153333953033734,0.2260869565217391,0.7739130434782608,DOMINIO_FORTE
3133501,21761.0,23825.4216258444,0.1498609682144211,0.2297995302045768,0.1965618183304032,4.5,0.25,0.9166666666666669,0.9166666666666669,0.4166666666666667,16.265151515151516,13.307239057239055,0.0378486055776892,MG,Sudeste,0,0,2,1,cluster_1,1.5843804783943558,0.3845507507151111,Itapecerica,142,0.3264632431730137,0.1408450704225352,0.8591549295774648,DOMINIO_FORTE
3133600,9881.0,69018.92520999898,0.0152201446491904,0.0619808953217568,0.0923543345071249,3.0,0.6666666666666666,0.0,1.0,0.0,24.55555555555556,19.217391304347824,0.0,MG,Sudeste,0,0,1,0,cluster_0,0.1508933342663642,0.9278991103386408,Itapeva,152,0.3860665076942422,0.3157894736842105,0.6842105263157895,DOMINIO_FORTE
3133709,11252.0,164918.5033771774,0.0158849202097657,0.6975085356928863,0.0399345148104121,3.5,0.25,0.6666666666666667,1.0,0.8333333333333334,18.33148148148148,11.10763888888889,0.1520958083832335,MG,Sudeste,0,0,2,0,cluster_0,3.748214918848811,2.53451384021424,Itatiaiuçu,162,0.3227739783117517,0.1975308641975308,0.8024691358024691,DOMINIO_FORTE
