id_municipio,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas,pca_1,pca_2
2516102,PB,Nordeste,0,0,1,-1.8933785533173326,-0.13680426186377892
2516151,PB,Nordeste,0,0,1,-0.87388559254242,-1.9508922946038902
2516201,PB,Nordeste,0,0,2,-0.7766432382076545,1.43676029018904
2516300,PB,Nordeste,0,0,1,-1.6689798281405084,-0.3911731268329639
2516409,PB,Nordeste,0,0,1,-2.5047744854165797,-1.4685552884919404
2516508,PB,Nordeste,0,0,1,-2.232535101153928,-0.9676650551914723
2516607,PB,Nordeste,0,0,1,-2.39284662578836,-0.2697577410601597
2516706,PB,Nordeste,0,0,1,-3.042551244715578,-0.6252666929791467
2516755,PB,Nordeste,0,0,1,1.3572224254657197,-1.9962503556682025
2516805,PB,Nordeste,0,0,1,-2.3174624256005636,-2.014896129544245
2516904,PB,Nordeste,0,0,2,-0.8266091268969977,-1.0643738088874826
2517001,PB,Nordeste,0,0,1,-2.767528121849735,-1.6803911234770883
2517100,PB,Nordeste,0,0,1,-1.2820268012545681,-2.0384259936401907
2517209,PB,Nordeste,0,0,1,-1.3146508558379313,-2.502284007864607
2517407,PB,Nordeste,0,0,1,1.2281134060132621,-1.7772969156343363
2600054,PE,Nordeste,0,0,1,-2.1932191438214663,2.9912546553949464
2600104,PE,Nordeste,0,0,1,-1.8499218376321935,1.9842883585040558
2600203,PE,Nordeste,0,0,1,-1.7655617001543844,0.9870794216223953
2600302,PE,Nordeste,0,0,1,-1.9389405083013715,0.9615255534910431
2600401,PE,Nordeste,0,0,1,-4.024116042779401,0.006072543606842073
2600500,PE,Nordeste,0,0,1,-3.997270765443481,1.6484382844802863
2600609,PE,Nordeste,0,0,1,-2.0328165500213546,-0.47409340110993137
2600708,PE,Nordeste,0,0,1,-1.9691934991396285,1.3578670279674712
2600807,PE,Nordeste,0,0,1,-2.2842718126141968,0.3228885633638579
2600906,PE,Nordeste,0,0,1,-2.319645938694009,-0.6324963795786573
2601003,PE,Nordeste,0,0,1,-2.6274394068464333,-0.6611484176907436
2601052,PE,Nordeste,0,0,1,-1.7376763533550732,0.18676668500922755
2601102,PE,Nordeste,0,0,1,-2.182000000134759,2.092867971729508
2601201,PE,Nordeste,0,0,1,-1.375558825680785,2.4077028495705566
2601300,PE,Nordeste,0,0,1,-1.8844300965254095,-0.07631831466246629
2601409,PE,Nordeste,0,0,1,-3.3751939567230993,1.4413725438651748
2601508,PE,Nordeste,0,0,1,-2.87455771712039,-0.5469121260562999
2601607,PE,Nordeste,0,0,1,-1.4137233034811014,0.387037733036244
2601706,PE,Nordeste,0,0,1,-2.1111575040070782,3.416891287565531
2601805,PE,Nordeste,0,0,1,-3.4577660276107136,-0.358812839832425
2601904,PE,Nordeste,0,0,1,-1.6951322414585002,2.328743437032544
2602001,PE,Nordeste,0,0,1,-3.15347454205726,0.36175511711692687
2602100,PE,Nordeste,0,0,1,-2.5282546819933702,1.411952869376165
2602209,PE,Nordeste,0,0,1,-2.136572365213232,0.3428836595924446
2602308,PE,Nordeste,0,0,1,-1.7543594520837997,1.7623754701956786
2602407,PE,Nordeste,0,0,1,-1.3910159559862645,0.05083702090523814
2602506,PE,Nordeste,0,0,1,-1.4145393748701054,-0.19841024573286287
2602605,PE,Nordeste,0,0,1,-3.6873122318353926,1.4448369342363385
2602704,PE,Nordeste,0,0,1,-3.5717138591433812,-0.3575505650239408
2602803,PE,Nordeste,0,0,1,-3.577947529381277,1.5043197861619146
2602902,PE,Nordeste,0,0,1,-1.1848218835454962,3.9258222879195688
