candidate_id,fold,feature_set,model,raw_features,transformed_features,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,train_evaluation_rows,runtime_seconds,train_sample_pr_auc_risk,validation_pr_auc_risk,estimated_pr_auc_gap_train_validation,train_sample_roc_auc_literate,validation_roc_auc_literate,estimated_roc_auc_gap_train_validation,validation_accuracy,validation_balanced_accuracy,validation_precision_risk,validation_recall_risk,validation_f1_risk,validation_recall_literate,validation_actual_risk_rate,validation_predicted_risk_rate,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,criterion
2,4,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,491.1468900000036,0.5915634288250167,0.5545586564223224,0.037004772402694286,0.6857415727116096,0.6513278936937532,0.03441367901785641,0.6056287887357683,0.6035986487980415,0.5251177061094066,0.5912176951424319,0.5562107580505666,0.615979602453651,0.41801358787870724,0.47063168331325983,250,16.0,400,50,log2,balanced_subsample,entropy
2,5,enriched_uf,random_forest,18,45,1202248,300561,3896,975,0,250000,223.74665079999977,0.5892043261400763,0.5327809556569317,0.05642337048314461,0.681289277282653,0.6451929382048299,0.03609633907782306,0.5986871217489961,0.5985538404976178,0.5096022326918028,0.5978087342685111,0.5501926110450222,0.5992989467267247,0.41056224859512713,0.4816260259980503,250,16.0,400,50,log2,balanced_subsample,entropy
3,1,enriched_uf,random_forest,18,45,1202247,300562,3899,972,0,250000,411.30943440000556,0.5863396213418575,0.5276084193079058,0.05873120203395166,0.6785163270166168,0.6281575306561172,0.05035879636049956,0.567480253658147,0.579339110345378,0.4870229915826418,0.6516523926263172,0.5574366533783163,0.5070258280644386,0.4180036065770124,0.5593022404695205,250,12.0,200,50,0.5,balanced_subsample,entropy
3,2,enriched_uf,random_forest,18,45,1202247,300562,3897,974,0,250000,720.3701149999979,0.5828568147512808,0.5447939034228808,0.038062911328400006,0.6793807087771523,0.6369489318014564,0.04243177697569589,0.5844151955337002,0.5938799674997118,0.5066437906110827,0.6552209799123476,0.571432492614691,0.532538955087076,0.42285119210013244,0.5468555572560736,250,12.0,200,50,0.5,balanced_subsample,entropy
3,3,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,687.2399762999994,0.5793323686549682,0.5514548490645482,0.027877519590419952,0.6757050477293286,0.6507582768794862,0.024946770849842426,0.610779140410298,0.6054266750797626,0.5244483450351053,0.5752619018727501,0.5486811698758135,0.6355914482867752,0.41127953633526526,0.4511282198015717,250,12.0,200,50,0.5,balanced_subsample,entropy
3,4,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,362.97173759999714,0.5847891307844352,0.5568106146157872,0.027978516168647993,0.6783491745135903,0.6520121901313994,0.026336984382190898,0.5868606144489323,0.5991074365198114,0.504364145491376,0.6737955571120432,0.5768968666094233,0.5244193159275795,0.41801358787870724,0.5584371943226356,250,12.0,200,50,0.5,balanced_subsample,entropy
3,5,enriched_uf,random_forest,18,45,1202248,300561,3896,975,0,250000,311.2608507000041,0.5821669220284243,0.5338953610617702,0.04827156096665419,0.6728656875865743,0.6443465334834586,0.028519154103115674,0.5827036774564897,0.5906383591719754,0.4936247952626937,0.6349970421154142,0.5554567075094191,0.5462796762285366,0.41056224859512713,0.5281457008727014,250,12.0,200,50,0.5,balanced_subsample,entropy
4,1,enriched_uf,random_forest,18,45,1202247,300562,3899,972,0,250000,197.37942239999393,0.5792450413041828,0.5273495774560324,0.05189546384815036,0.6741179516675632,0.6292619450328493,0.044856006634713896,0.567600029278485,0.5831011375535815,0.4876084653054211,0.677624247827056,0.5671233150474135,0.488578027280107,0.4180036065770124,0.5808951231359919,300,12.0,100,200,log2,balanced_subsample,entropy
4,2,enriched_uf,random_forest,18,45,1202247,300562,3897,974,0,250000,314.5682866999996,0.5774585509630226,0.539750878293398,0.0377076726696246,0.6760932004623303,0.6342662371234207,0.04182696333890967,0.5805091794704587,0.5938333361578609,0.5029380279723534,0.680186949713989,0.578285286159136,0.5074797226017329,0.42285119210013244,0.5718753535044351,300,12.0,100,200,log2,balanced_subsample,entropy
4,3,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,322.6047359000004,0.5731819342448785,0.5496982745907412,0.023483659654137345,0.6730906494833206,0.650497733700686,0.02259291578263467,0.6093351787651133,0.6020400532408745,0.5233843088117631,0.5609270719572867,0.5415057575840404,0.6431530345244622,0.41127953633526526,0.4407809370446031,300,12.0,100,200,log2,balanced_subsample,entropy
4,4,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,153.1764289000057,0.5793837113686737,0.5515816348697267,0.02780207649894706,0.6749196554695716,0.6492523696906043,0.025667285778967264,0.6025379123109376,0.5996122644705535,0.5220592961881022,0.5817699918019087,0.5502996446425344,0.6174545371391984,0.41801358787870724,0.4658240229969191,300,12.0,100,200,log2,balanced_subsample,entropy
4,5,enriched_uf,random_forest,18,45,1202248,300561,3896,975,0,250000,147.2815507999985,0.5773677467083167,0.5333043874626873,0.04406335924562943,0.6708952943729295,0.6444143873493515,0.02648090702357797,0.5889819371109359,0.594725764954533,0.4995576049961573,0.6268365221760306,0.5560060092438848,0.5626150077330353,0.41056224859512713,0.5151666383862178,300,12.0,100,200,log2,balanced_subsample,entropy
5,1,enriched_uf,random_forest,18,45,1202247,300562,3899,972,0,250000,639.5967299999975,0.59961768804106,0.5276444455649371,0.07197324247612291,0.6908767947978148,0.6286476007094074,0.062229194088407436,0.5766197989100419,0.5857757958393895,0.49503789134947246,0.6416075010347353,0.5588726730682566,0.5299440906440438,0.4180036065770124,0.5417650933917129,150,,400,20,0.5,balanced,entropy
