threshold,accuracy,balanced_accuracy,precision_risk,recall_risk,recall_alfabetizado,f1_risk,taxa_predita_risco,tp_risk,fp_risk,fn_risk,tn_risk,modelo
0.42,0.5452110015311327,0.5544512436071634,0.4646065642303197,0.609545845579182,0.4993566416351446,0.5272976133910706,0.5459622613385999,381199,439278,244183,438149,random_forest
0.43,0.5509329528902209,0.5519842250033151,0.4669128365889997,0.5582523961354819,0.5457160538711483,0.508513557603794,0.4975495888033676,349121,398601,276261,478826,random_forest
0.44,0.556643592099861,0.5501981167155532,0.4699720116652325,0.5117672078825422,0.5886290255485641,0.4899799445796782,0.4531500676399995,320050,360948,305332,516479,random_forest
0.45,0.5631361004625338,0.5487056208747797,0.4744672651990325,0.46266441950679743,0.634746822242762,0.4684915159969138,0.40579009042399933,289342,320483,336040,556944,random_forest
0.46,0.5666734761370208,0.5400638999486265,0.4743225426698192,0.38140528508975313,0.6987225148074997,0.42281930946461566,0.33462203114301287,238524,264349,386858,613078,random_forest
0.47,0.5744781938356771,0.5355382374513379,0.48209021975564637,0.30336018625416145,0.7677162886485144,0.372390103149444,0.26186162047206263,189716,203812,435666,673615,random_forest
0.48,0.5788047582893102,0.5313064528390175,0.4880562930155894,0.24809956154798188,0.8145133441300529,0.3289698820087142,0.2115425180445419,155157,162751,470225,714676,random_forest
0.49,0.5796871059462646,0.5249962482379134,0.4877122132915115,0.19890402985695144,0.8510884666188754,0.2825681029312883,0.16971551274979055,124391,130659,500991,746768,random_forest
0.5,0.5818058049958444,0.523402439890702,0.49305986875860763,0.1751745333252316,0.8716303464561724,0.2585066920884224,0.14784713160488125,109551,112635,515831,764792,random_forest
0.51,0.582509154523296,0.5186871437010356,0.49420264155908045,0.1381507622541103,0.899223525147961,0.21593770580715146,0.11632948698071412,86397,88424,538985,789003,random_forest
0.52,0.5837488330187003,0.5172224734904023,0.4994568025543529,0.12056151280337457,0.9138834341774301,0.19423706108148492,0.1004505562583136,75397,75561,549985,801866,random_forest
0.53,0.5844182460978075,0.5146987301080326,0.5034232651932803,0.09899869199944994,0.9303987682166152,0.16545958918387307,0.08183475079002056,61912,61070,563470,816357,random_forest
0.54,0.5831459619951703,0.5111834763410299,0.4948443673508721,0.08210981448138897,0.9402571382006708,0.1408485473536382,0.0690506910725182,51350,52420,574032,825007,random_forest
0.55,0.5876588442044198,0.5104018658229268,0.5505254219297314,0.049759986696131325,0.9710437449497223,0.09127037664904943,0.03761356233559953,31119,25407,594263,852020,random_forest
0.56,0.585051726466903,0.5049964020972496,0.5273358932163101,0.027669488408684613,0.9823233157858147,0.0525800825286085,0.021835110117120672,17304,15510,608078,861917,random_forest
0.57,0.5856206610420885,0.5038141991331333,0.5760289306009988,0.016046192567102987,0.9915822056991636,0.031222629639251844,0.011592291502113708,10035,7386,615347,870041,random_forest
0.58,0.5853531619786679,0.5032564719747565,0.5750952476438741,0.013757991115830004,0.992754952833683,0.026873097699201834,0.00995535693491322,8604,6357,616778,871070,random_forest
