candidate_id,fold,feature_set,model,raw_features,transformed_features,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,runtime_seconds,train_pr_auc_risk,validation_pr_auc_risk,pr_auc_gap_train_validation,train_roc_auc_literate,validation_roc_auc_literate,roc_auc_gap_train_validation,validation_accuracy,validation_balanced_accuracy,validation_precision_risk,validation_recall_risk,validation_f1_risk,validation_recall_literate,validation_actual_risk_rate,validation_predicted_risk_rate,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,max_bins
3,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,15.183066799996595,0.5845438445601034,0.5437026325249458,0.04084121203515767,0.6793070559808276,0.6352326748322794,0.044074381148548225,0.6079411236284028,0.5636963518658624,0.575685710079979,0.27694680273500505,0.3739813211215827,0.8504459009967199,0.42285119210013244,0.203422255641099,0.11802726789107952,229,15,6.0,180,0.014765043713594356,255
3,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,28.76888550000149,0.5835522837801591,0.550217984130076,0.033334299650083055,0.6781198295859141,0.6481581568177402,0.029961672768173853,0.6325749762112309,0.5856979911443787,0.599393729168866,0.3215143793228977,0.418529712197639,0.8498816029658598,0.41127953633526526,0.2206100571595877,0.11802726789107952,229,15,6.0,180,0.014765043713594356,255
3,4,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,14.242637600000307,0.5835792337283083,0.5498556183526806,0.033723615375627736,0.6773213993273332,0.6477178927098755,0.029603506617457698,0.6262534851378417,0.5891613889170513,0.5854012349641193,0.3629525863784335,0.44808780756229855,0.815370191455669,0.41801358787870724,0.2591711527072617,0.11802726789107952,229,15,6.0,180,0.014765043713594356,255
3,5,enriched_uf,hist_gradient_boosting,18,45,1202248,300561,3896,975,0,27.76035419999971,0.5860435321759268,0.540241552629127,0.045801979546799765,0.6773383798291426,0.6504470197379674,0.02689136009117521,0.631249563316598,0.5907881885740607,0.5811685375841267,0.36458966442191587,0.44808079198454276,0.8169867127262054,0.41056224859512713,0.25756169296748416,0.11802726789107952,229,15,6.0,180,0.014765043713594356,255
4,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,13.393148900002416,0.5951292184742794,0.5282276528587876,0.06690156561549176,0.6874620881872653,0.628258828999958,0.05920325918730729,0.6110852336622726,0.5663578734209984,0.5672176520335204,0.2936180712534624,0.38693875838486186,0.8390976755885345,0.4180036065770124,0.2163779852409819,0.08118441500491742,148,63,,78,0.08179499475211674,255
4,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,13.733709800006181,0.5929116061785407,0.5392184718075417,0.053693134370998985,0.6870129729397221,0.6302679164439249,0.0567450564957972,0.6081474038634291,0.5678244454623388,0.5679190540757264,0.30649209633890145,0.3981255301969522,0.8291567945857762,0.42285119210013244,0.2282025006487846,0.08118441500491742,148,63,,78,0.08179499475211674,255
4,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,29.32863489999727,0.5918970262969842,0.5482797087998859,0.043617317497098296,0.6858803100040323,0.6460581191988453,0.03982219080518701,0.6328644339603808,0.5861681440202196,0.5996275605214153,0.32300287181976295,0.4198461643612351,0.8493334162206763,0.41127953633526526,0.22154497241833632,0.08118441500491742,148,63,,78,0.08179499475211674,255
4,4,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,13.430144400001154,0.5921644952397915,0.5501284128998745,0.04203608233991707,0.68570333386303,0.6490220164001907,0.0366813174628392,0.6279170354203126,0.5916737219537584,0.5870110552257056,0.370641281767604,0.45438312321923424,0.812706162139913,0.41801358787870724,0.26393556071625823,0.08118441500491742,148,63,,78,0.08179499475211674,255
4,5,enriched_uf,hist_gradient_boosting,18,45,1202248,300561,3896,975,0,29.070487400000275,0.5942678555252704,0.5345221562099963,0.05974569931527407,0.6853015581091342,0.6435918847977218,0.0417096733114124,0.6270041688708782,0.5818774612039002,0.5805889826274392,0.3295974845825331,0.4204867357277257,0.8341574378252673,0.41056224859512713,0.23307415133699982,0.08118441500491742,148,63,,78,0.08179499475211674,255
5,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,22.97002639999846,0.5843935914088858,0.5291233782473185,0.05527021316156733,0.6774429740289092,0.6285905051625917,0.048852468866317444,0.6077281891922465,0.5673515961803574,0.5530016447368421,0.3211420293546436,0.4063223831295696,0.8135611630060712,0.4180036065770124,0.2427452572181447,0.03277702274869302,289,31,10.0,194,0.15833718339012065,255
5,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,23.207368499999575,0.5822756176584228,0.5431030173869775,0.03917260027144531,0.6771792466397409,0.6345323145030837,0.04264693213665727,0.6110053832487141,0.5672145060531136,0.5822475833306392,0.2834066392326879,0.38124421158476884,0.8510223728735393,0.42285119210013244,0.20582109514842195,0.03277702274869302,289,31,10.0,194,0.15833718339012065,255
5,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,48.03765679999924,0.5808238027873248,0.5517982258211056,0.029025576966219213,0.6761776491475403,0.6472133790392143,0.02896427010832603,0.6314104910135013,0.5793863527766486,0.6107552870090635,0.2861950410548882,0.38975432411589733,0.8725776644984091,0.41127953633526526,0.19272230022424658,0.03277702274869302,289,31,10.0,194,0.15833718339012065,255
5,4,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,26.737154899994493,0.5806735426317704,0.5527738395538999,0.027899703077870486,0.6751006898403397,0.650252486502971,0.0248482033373687,0.6267292605186284,0.5917621945914521,0.5823373824451411,0.3785130413327072,0.4588066742883605,0.8050113478501969,0.41801358787870724,0.27170434053539705,0.03277702274869302,289,31,10.0,194,0.15833718339012065,255
5,5,enriched_uf,hist_gradient_boosting,18,45,1202248,300561,3896,975,0,47.10964039999817,0.5829153000485449,0.5404988478930746,0.0424164521554703,0.6749162607038665,0.6500850036429501,0.02483125706091638,0.6327600719986958,0.5924199437176056,0.5839750286989385,0.3668992455368358,0.4506589425067686,0.8179406418983755,0.41056224859512713,0.257947637917095,0.03277702274869302,289,31,10.0,194,0.15833718339012065,255
