feature,profile_type,level_or_bin,n,value_min,value_mean,value_max,mean_shap_risk,median_shap_risk,mean_abs_shap_risk,actual_risk_rate,predicted_risk_mean
participacao_administracao_publica_2020,quantile,"(0.162, 0.222]",3996,0.16151774172423022,0.192550667794723,0.2224782978909616,-0.04569452553834507,-0.04543886299371046,0.04642853823017883,0.38263263263263264,0.40033615676303064
participacao_administracao_publica_2020,quantile,"(0.222, 0.354]",3999,0.22262080490182426,0.2779353675260579,0.3542680817811483,-0.006186577900471173,-0.028896778321675518,0.04520220328376092,0.4053513378344586,0.41933900927393375
participacao_administracao_publica_2020,quantile,"(0.354, 0.777]",4000,0.3543667578999751,0.47181050582670786,0.7774443273965556,0.09011670795067891,0.09174457607015608,0.09136792083149768,0.43825,0.4697640421545878
quantidade_escolas_anos_iniciais,quantile,"(0.999, 9.0]",4210,1.0,5.0066508313539195,9.0,-0.06616577117140951,-0.06018226842680214,0.06731260652789618,0.33800475059382423,0.36098755168600116
quantidade_escolas_anos_iniciais,quantile,"(21.0, 43.0]",3966,22.0,31.184064548663642,43.0,0.019621214409750176,0.020108760016931033,0.024510129000075608,0.4135148764498235,0.420053656977098
quantidade_escolas_anos_iniciais,quantile,"(43.0, 98.0]",3979,44.0,64.59261120884645,98.0,0.03939054395029888,0.034835320638653994,0.039653805655477666,0.44533802462930383,0.4501222805012937
quantidade_escolas_anos_iniciais,quantile,"(9.0, 21.0]",3892,10.0,15.2155704008222,21.0,-0.028163120745438617,-0.0243349618373093,0.029012129927691345,0.38335046248715315,0.3908323208002414
quantidade_escolas_anos_iniciais,quantile,"(98.0, 757.0]",3953,99.0,361.47811788515054,757.0,0.040351307032127096,0.032249274441253056,0.040351307032127096,0.4343536554515558,0.44382400221426604
alunos_por_turma_anos_iniciais,quantile,"(20.636, 22.761]",4001,20.636363636363637,21.750127519758344,22.760563380281692,-0.020839141119479283,-0.017319668162453082,0.021085248763183177,0.3709072731817046,0.39554022637320807
alunos_por_turma_anos_iniciais,quantile,"(22.761, 24.739]",4011,22.764705882352942,23.74258322736395,24.73931623931624,0.014379421975473181,0.015730109484490478,0.016996903277076463,0.43081525804038895,0.4223591929207607
alunos_por_turma_anos_iniciais,quantile,"(24.739, 27.254]",3998,24.74025974025974,25.923040528399078,27.254273504273506,0.026876526145364028,0.02313682499004253,0.028732128833970683,0.4072036018009004,0.42445376380180033
alunos_por_turma_anos_iniciais,quantile,"(27.254, 121.0]",3988,27.25862068965517,29.021050485606345,121.0,0.04216671838018283,0.04328006784038792,0.04300707479149671,0.4215145436308927,0.4415687208318731
alunos_por_turma_anos_iniciais,quantile,"(4.7989999999999995, 20.636]",4002,4.8,18.396614429716433,20.635627530364374,-0.03898680200176546,-0.036152726201818475,0.039783985587846384,0.38055972013993006,0.3792356943303179
proporcao_escolas_rurais,quantile,"(-0.001, 0.0714]",8049,0.0,0.008719454598752358,0.07142857142857142,-0.0035014849699542315,-0.00336947781293696,0.0042119555502725696,0.386259162628898,0.39640750403755354
proporcao_escolas_rurais,quantile,"(0.0714, 0.28]",3956,0.07352941176470588,0.1706161388148316,0.28,-0.0012073656816803087,-0.0006828904222571519,0.003915788725869844,0.4044489383215369,0.42074789071315766
proporcao_escolas_rurais,quantile,"(0.28, 0.62]",4005,0.2857142857142857,0.4508040835258371,0.62,0.004303692505807027,0.0038982894059303055,0.006345816106643183,0.40549313358302125,0.40314434428881407
proporcao_escolas_rurais,quantile,"(0.62, 1.0]",3990,0.6210526315789474,0.7907776536276272,1.0,-0.00026961804046417607,-0.002526726310779374,0.009668840742861416,0.4288220551378446,0.44674858873563794
proporcao_internet_aprendizagem,quantile,"(-0.001, 0.473]",4019,0.0,0.2404948056594038,0.47272727272727266,0.07543241449519088,0.07633835751119813,0.07556444751818683,0.44737496889773576,0.46993949065168567
proporcao_internet_aprendizagem,quantile,"(0.473, 0.733]",3984,0.47368421052631576,0.6239260393938989,0.7333333333333332,0.031081481354505752,0.027052709672886394,0.031680989090337584,0.4098895582329317,0.43909963908741534
proporcao_internet_aprendizagem,quantile,"(0.733, 0.904]",4040,0.7333333333333333,0.8179031949340558,0.9036144578313252,-0.04941990946482804,-0.06849326921581782,0.06432621518272282,0.3995049504950495,0.4055535732330221
proporcao_internet_aprendizagem,quantile,"(0.904, 1.0]",7957,0.9038461538461537,0.9799428313701428,1.0,-0.09475938917399054,-0.09373471597126265,0.09475938917399054,0.37690084202588914,0.37398346269657157
proporcao_biblioteca_sala_leitura,quantile,"(-0.001, 0.364]",4018,0.0,0.1819878155901105,0.36363636363636365,0.0434350170660546,0.04127897147524838,0.04351276907040309,0.45495271279243404,0.4767383300840575
proporcao_biblioteca_sala_leitura,quantile,"(0.364, 0.615]",4007,0.3636363636363637,0.491364089020452,0.6153846153846153,0.009201517803442224,0.009406237624069494,0.02157141635307437,0.42375842276016973,0.41838083504131857
proporcao_biblioteca_sala_leitura,quantile,"(0.615, 0.788]",4021,0.6153846153846154,0.7092500264883571,0.787878787878788,-0.007351198152216905,-0.0061323913370742306,0.00814007664097422,0.3946779408107436,0.3985580103381172
proporcao_biblioteca_sala_leitura,quantile,"(0.788, 0.955]",3966,0.7894736842105261,0.8762358886580071,0.9545454545454544,-0.005373096613166951,-0.006751322255849736,0.008136675064508552,0.397125567322239,0.4027958859912931
proporcao_biblioteca_sala_leitura,quantile,"(0.955, 1.0]",3988,0.9565217391304346,0.992597479654939,1.0,-0.04204827369452128,-0.05071119272564531,0.04260353816119341,0.34002006018054165,0.3661498906449529
proporcao_laboratorio_informatica,quantile,"(-0.001, 0.0714]",4002,0.0,0.017924772443177063,0.07142857142857142,0.000984844683181996,0.0030319625313345658,0.009838348432013446,0.4230384807596202,0.4423436540188269
proporcao_laboratorio_informatica,quantile,"(0.0714, 0.25]",4145,0.07142857142857144,0.16004255359459002,0.25,-0.0009499923473528862,0.0017919044048366108,0.009145538140285462,0.43425814234016885,0.42859272779645574
proporcao_laboratorio_informatica,quantile,"(0.25, 0.545]",3873,0.25000000000000006,0.4092655284333716,0.5454545454545454,0.0027960455326807554,0.0015481539891247377,0.006212999274978701,0.4007229537825975,0.41121109203196315
proporcao_laboratorio_informatica,quantile,"(0.545, 0.805]",4054,0.5490196078431374,0.6794858976648472,0.8050420168067229,-0.00784939782512563,-0.006845136129319793,0.009043631805458566,0.38159842131228416,0.4035312768797242
proporcao_laboratorio_informatica,quantile,"(0.805, 1.0]",3926,0.8095238095238094,0.9403967078039608,1.0,-0.013647780023310787,-0.011425517685310492,0.015529866342885194,0.36984207845135,0.37620226886947694
razao_matriculas_docentes_anos_iniciais,quantile,"(14.925, 17.855]",4032,14.932432432432432,16.356437532610922,17.85489410417859,-0.00529877985775998,-0.006255694729965805,0.007470375697018452,0.3628472222222222,0.38383412639012715
