threshold_risk,accuracy,balanced_accuracy,precision_risk,recall_risk,f1_risk,recall_literate,actual_risk_rate,predicted_risk_rate,true_negative,false_positive,false_negative,true_positive
0.24,0.47417403009963344,0.5444549455772634,0.43983932236844026,0.9635023073897234,0.6039672635604135,0.12540758376480324,0.416142038010153,0.9115915595395023,110036,767391,22825,602557
0.25,0.4792518543607338,0.5479870022273469,0.4420003733746948,0.9578177817717811,0.6048725909312835,0.13815622268291267,0.416142038010153,0.9017825951268591,121222,756205,26380,599002
0.26,0.4856405571167061,0.5524997274319091,0.44481177930993226,0.9511450601392429,0.6061513001352259,0.15385439472457538,0.416142038010153,0.889840292412409,134996,742431,30553,594829
0.27,0.4926993383723414,0.5571333933969904,0.44788574228408917,0.941319065786991,0.6069708167675735,0.17294772100698977,0.416142038010153,0.8746034925263291,151749,725678,36698,588684
0.28,0.5007083401816199,0.5620640597056343,0.4513984828118388,0.927895270410725,0.6073405556910344,0.19623284900054364,0.416142038010153,0.8554220795856293,172180,705247,45093,580289
0.29,0.505237192484208,0.564820769166508,0.4534454144410944,0.9200856436545983,0.607497899008839,0.2095558946784177,0.416142038010153,0.8443933992942549,183870,693557,49977,575405
0.3,0.5144419550322097,0.5705657696377898,0.45781726516421584,0.9052019405739212,0.6080869221948606,0.23592959870165836,0.416142038010153,0.8228011676799912,207011,670416,59285,566097
0.31,0.5201532596624056,0.5737506056938348,0.4605398525396679,0.8933228011039652,0.6077584753276394,0.2541784102837045,0.416142038010153,0.8072030444321268,223023,654404,66714,558668
0.32,0.5251745231762652,0.5763573705471245,0.4629696501452829,0.8815332069039403,0.6070989261971124,0.2711815341903087,0.416142038010153,0.7923694894028449,237942,639485,74087,551295
0.33,0.5329985380710389,0.5806043790079282,0.46698852338082575,0.8644524466645986,0.6063946966977746,0.2967563113512577,0.416142038010153,0.7703294297545463,260382,617045,84769,540613
0.34,0.5396620595165453,0.5832106109059008,0.47036619949564806,0.8428672395431912,0.6037864226690522,0.3235539822686104,0.416142038010153,0.7457008841442925,283895,593532,98268,527114
0.35,0.5473802725429512,0.5866697555693312,0.4746586342039791,0.8209318464554465,0.6015209201209378,0.3524076646832158,0.416142038010153,0.7197261927497107,309212,568215,111986,513396
0.36,0.5542966537996512,0.5883761360920203,0.4785282122616112,0.7915737900994911,0.5964723934696444,0.38517848208454947,0.416142038010153,0.6883755686850425,337966,539461,130346,495036
0.37,0.562424765888413,0.5915147714360678,0.4837158416902764,0.7649628547032054,0.5926659150881453,0.4180666881689303,0.416142038010153,0.6580995988179469,366823,510604,146988,478394
0.38,0.5726522798306372,0.5948934705549784,0.4909147606007048,0.727505748486525,0.5862398206370477,0.4622811926234319,0.416142038010153,0.6166971318377784,405618,471809,170413,454969
0.39,0.5781007433413029,0.5956245633887552,0.4951081277902669,0.7001096929556655,0.5800281644240667,0.491139433821845,0.416142038010153,0.5884473675630103,430939,446488,187546,437836
0.4,0.584168047968837,0.596980006482247,0.5002768003307348,0.6733708357451925,0.5740595333518728,0.5205891772193014,0.416142038010153,0.5601257378682187,456779,420648,204268,421114
0.41,0.5943689450888303,0.5992840534808945,0.5102515244891761,0.6285902056662968,0.5632724938458408,0.5699779012954924,0.416142038010153,0.5126546354194046,500114,377313,232273,393109
0.42,0.6004202796230259,0.5983326315462757,0.5175798190175643,0.5858851070225878,0.5496183893149008,0.6107801560699636,0.416142038010153,0.47106052731917364,535915,341512,258980,366402
0.43,0.6041945450153678,0.5990467801571202,0.5224616868093263,0.5683534223882363,0.5444421978776071,0.6297401379260041,0.416142038010153,0.45269491997985106,552551,324876,269944,355438
0.44,0.6075928477936984,0.5974730462767271,0.5280346580021661,0.5371341036358578,0.5325455137803686,0.6578119889175965,0.416142038010153,0.4233132753397138,577182,300245,289468,335914
0.45,0.615744915022468,0.5947068813899181,0.5444507109145419,0.46926838316421005,0.5040716038907391,0.7201453796156262,0.416142038010153,0.3586776496547465,631875,245552,331910,293472
0.46,0.6206224476962807,0.5937933786191528,0.5566824796250851,0.4338260455209776,0.4876350937230958,0.7537607117173281,0.416142038010153,0.3243020237435363,661370,216057,354075,271307
0.47,0.6217183953516382,0.5913285368635125,0.5623762549909117,0.4101301284654819,0.4743361064337965,0.7725269452615431,0.416142038010153,0.3034843416561918,677836,199591,368894,256488
0.48,0.6241418570157619,0.5901417847879747,0.571385447693436,0.3874176103565501,0.4617523544159533,0.7928659592193994,0.416142038010153,0.2821576128436814,695682,181745,383098,242284
0.49,0.6250242046727162,0.5874446442090691,0.5787818202656411,0.36337790342542636,0.44645619866858804,0.8115113849927117,0.416142038010153,0.26126739991575776,712042,165385,398132,227250
0.5,0.6244419616864152,0.5832534996844098,0.5843909296700742,0.3376688168191601,0.42802127418073327,0.8288381825496594,0.416142038010153,0.24045237951063642,727245,150182,414210,211172
0.51,0.6241691392585484,0.5808690646224617,0.5883002851029344,0.3226939694458747,0.4167775005782639,0.8390441597990488,0.416142038010153,0.22826187492888317,736200,141227,423575,201807
0.52,0.6235276738427837,0.575586139604765,0.598449018416255,0.289736513043228,0.3904421445486652,0.8614357661663021,0.416142038010153,0.2014733741945916,755847,121580,444186,181196
0.53,0.6226919056247334,0.5706634370687895,0.6091265389160646,0.260445615639721,0.3648790628801337,0.8808812584978579,0.416142038010153,0.17793079493135855,772909,104518,462504,162878
0.54,0.6195457972370407,0.5644897958933655,0.6108905650390366,0.2362204220780259,0.3406987497780228,0.8927591697087051,0.416142038010153,0.1609146604791427,783331,94096,477654,147728
0.55,0.6182974682744115,0.5610655633058501,0.6159460549307765,0.21982244452190822,0.3240102195217377,0.9023086820897921,0.416142038010153,0.14851521384287691,791710,85717,487909,137473
0.56,0.6167763168839154,0.5572581821990664,0.621450035352345,0.20238350320284243,0.3053316703777595,0.9121328611952904,0.416142038010153,0.13552221207086196,800330,77097,498815,126567
0.57,0.6133846683111427,0.5507872247060461,0.6248515781950783,0.1775522800464356,0.27652863644570624,0.9240221693656566,0.416142038010153,0.11824722902245062,810762,66665,514344,111038
0.58,0.6104109038473952,0.5456626028550429,0.6249170433628429,0.1596032504932985,0.2542669506205547,0.9317219552167872,0.416142038010153,0.10628230200910428,817518,59909,525569,99813
0.59,0.6085929748890245,0.5422016392444764,0.6274130744762532,0.1463457534754758,0.23733296683064203,0.938057525013477,0.416142038010153,0.09706622731165437,823077,54350,533860,91522
0.6,0.6070758160218631,0.5387293111213056,0.6350017024174327,0.1312158009024884,0.21748982918328674,0.9462428213401228,0.416142038010153,0.08599096758137595,830259,47168,543322,82060
0.61,0.6057988739753355,0.5359491251196812,0.6415648425626186,0.1194725783601063,0.20143400000808798,0.9524256718792561,0.416142038010153,0.07749421250471616,835684,41743,550666,74716
0.62,0.6038232403452468,0.5325859861886036,0.6430478478936629,0.10783649033710596,0.18469961219079337,0.9573354820401013,0.416142038010153,0.0697853153660911,839992,37435,557943,67439
0.63,0.6003756964457891,0.5268815477497827,0.6441705676683432,0.08867540159454541,0.15589110448633886,0.96508769390502,0.416142038010153,0.05728539022590363,846794,30633,569926,55456
0.64,0.5961203319916237,0.5203911518894377,0.6361044639428048,0.06885871355427563,0.12426559704507416,0.9719235902245998,0.416142038010153,0.045047640784690535,852792,24635,582319,43063
0.65,0.5915089675401198,0.5123710926486083,0.6467480089850929,0.0405144375757537,0.07625218566325287,0.9842277477214628,0.416142038010153,0.026068515692945677,863588,13839,600045,25337
0.66,0.5887095432619848,0.5075716931031438,0.6622746494547074,0.023790259393458718,0.04593059781090288,0.9913531268128288,0.416142038010153,0.014948672785430484,869840,7587,610504,14878
0.67,0.587479846074917,0.5054561913276657,0.6806984927959631,0.016393180488085683,0.032015339382271336,0.9945192021672459,0.416142038010153,0.010021898990490476,872618,4809,615130,10252
0.68,0.5867225974824478,0.5042771819631601,0.6858968822868987,0.012699438103431182,0.024937162557833212,0.9958549258228889,0.416142038010153,0.007704904615290433,873790,3637,617440,7942
0.69,0.5860798012255716,0.5033447786461942,0.6810933940774487,0.010040263391015412,0.019788812182773112,0.996649293901373,0.416142038010153,0.006134512103667199,874487,2940,619103,6279
0.7,0.5853791133803431,0.5023446551496658,0.6683853859752504,0.00725476588708981,0.014353733963965389,0.9974345444122417,0.416142038010153,0.004516874732584114,875176,2251,620845,4537
0.71,0.5844774685272712,0.501043137091191,0.6317577129917917,0.0035690186158220095,0.007097938513153606,0.9985172555665599,0.416142038010153,0.0023509308235444425,876126,1301,623150,2232
0.72,0.5839770722693303,0.5003054845270599,0.5561833019460138,0.0014167340921228944,0.0028262689899916263,0.9991942349619969,0.416142038010153,0.0010600149453456826,876720,707,624496,886
0.73,0.583893229279303,0.5000685557242988,0.594306049822064,0.0002670367871157149,0.0005338337092012792,0.9998700746614818,0.416142038010153,0.00018698317617208841,877313,114,625215,167
0.74,0.5838712704009624,0.5000254064246447,0.5980392156862745,9.754038331771621e-05,0.00019504895408995273,0.9999532724659715,0.416142038010153,6.787289668880077e-05,877386,41,625321,61
0.75,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.76,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.77,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.78,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.79,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.8,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.81,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.82,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.83,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.84,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.85,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.86,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.87,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.88,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.89,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
0.9,0.583857961989847,0.5,0.0,0.0,0.0,1.0,0.416142038010153,0.0,877427,0,625382,0
