ano,id_municipio,municipio,sigla_uf,regiao,capital_uf,amazonia_legal,rede_nome,quantidade_alunos,quantidade_alfabetizados,quantidade_nao_alfabetizados,taxa_alfabetizacao,populacao_2020,pib_por_habitante_2020,participacao_agropecuaria_2020,participacao_industria_2020,participacao_servicos_2020,participacao_administracao_publica_2020
2023,3140001,Mariana,MG,Sudeste,0,0,Estadual,142,87,55,0.61267605633802813,61288,53280.266936431275,0.0055669890456858913,0.55001631245188154,0.32240766600919596,0.12200870819001834
2023,3140001,Mariana,MG,Sudeste,0,0,Municipal,539,287,252,0.5324675324675322,61288,53280.266936431275,0.0055669890456858913,0.55001631245188154,0.32240766600919596,0.12200870819001834
2023,3140100,Marilac,MG,Sudeste,0,0,Municipal,48,34,14,0.70833333333333348,4097,13395.89943861362,0.16566361663993961,0.044335440052825206,0.30883878879351007,0.48114328836902182
2023,3140159,Mário Campos,MG,Sudeste,0,0,Municipal,172,120,52,0.69767441860465151,15619,11446.955630962289,0.075989133296632275,0.074487182555829479,0.45290696282821513,0.39662270518681636
2023,3140209,Maripá de Minas,MG,Sudeste,0,0,Municipal,41,28,13,0.68292682926829273,2987,24265.148978908604,0.1322894815702727,0.24174408151033863,0.34782738987114176,0.278154030566377
2023,3140308,Marliéria,MG,Sudeste,0,0,Municipal,34,21,13,0.61764705882352944,4034,12007.436787307883,0.10364025695931478,0.057408993576017128,0.32364025695931475,0.51531049250535332
2023,3140407,Marmelópolis,MG,Sudeste,0,0,Municipal,33,25,8,0.75757575757575757,2728,14684.750733137829,0.24615266038075173,0.02679649564524831,0.29455591809469978,0.43249492587930016
2023,3140506,Martinho Campos,MG,Sudeste,0,0,Estadual,63,42,21,0.66666666666666674,13443,28208.138064420145,0.28166193892875019,0.14709690040679643,0.4013360414736733,0.16990224227115544
2023,3140506,Martinho Campos,MG,Sudeste,0,0,Municipal,72,41,31,0.56944444444444442,13443,28208.138064420145,0.28166193892875019,0.14709690040679643,0.4013360414736733,0.16990224227115544
2023,3140530,Martins Soares,MG,Sudeste,0,0,Municipal,90,69,21,0.7666666666666665,8531,29732.036103622086,0.093933141489882466,0.28310328894094178,0.442362327924202,0.18060124164497371
2023,3140555,Mata Verde,MG,Sudeste,0,0,Estadual,23,20,3,0.86956521739130432,8644,8410.8051827857471,0.067946175637393774,0.0764872521246459,0.3118271954674221,0.5437393767705383
2023,3140555,Mata Verde,MG,Sudeste,0,0,Municipal,65,37,28,0.56923076923076932,8644,8410.8051827857471,0.067946175637393774,0.0764872521246459,0.3118271954674221,0.5437393767705383
2023,3140605,Materlândia,MG,Sudeste,0,0,Municipal,47,17,30,0.36170212765957449,4436,12212.578899909829,0.25979933110367892,0.037228858098423315,0.26973721930243671,0.43323459149546106
2023,3140704,Mateus Leme,MG,Sudeste,0,0,Municipal,437,247,190,0.56521739130434778,31364,21380.786889427371,0.041227407743039825,0.24122405141888603,0.47227004984141369,0.24528016915873735
2023,3140803,Matias Barbosa,MG,Sudeste,0,0,Municipal,104,67,37,0.64423076923076927,14548,36861.1492988727,0.008419207984913999,0.2686479742471285,0.54842949389512186,0.17450094287510237
2023,3140852,Matias Cardoso,MG,Sudeste,0,0,Municipal,120,46,74,0.38333333333333341,11260,12309.769094138543,0.33826568570720011,0.048764907903537318,0.20234919251204281,0.41062021387721975
2023,3140902,Matipó,MG,Sudeste,0,0,Estadual,148,100,48,0.67567567567567555,19005,22026.151012891343,0.087281706269682222,0.054457816732365834,0.63600002202206607,0.22226320773414962
2023,3140902,Matipó,MG,Sudeste,0,0,Municipal,91,78,13,0.85714285714285732,19005,22026.151012891343,0.087281706269682222,0.054457816732365834,0.63600002202206607,0.22226320773414962
2023,3141009,Mato Verde,MG,Sudeste,0,0,Estadual,68,62,6,0.91176470588235292,12412,11937.157589429584,0.064301912384935461,0.081391159370121022,0.47317927814003435,0.38112765010490918
2023,3141009,Mato Verde,MG,Sudeste,0,0,Municipal,68,46,22,0.676470588235294,12412,11937.157589429584,0.064301912384935461,0.081391159370121022,0.47317927814003435,0.38112765010490918
2023,3141108,Matozinhos,MG,Sudeste,0,0,Estadual,108,63,45,0.58333333333333326,38151,30373.463343031639,0.01064194242352739,0.45708026328909968,0.36444827072137936,0.16782952356599357
2023,3141108,Matozinhos,MG,Sudeste,0,0,Municipal,294,137,157,0.46598639455782304,38151,30373.463343031639,0.01064194242352739,0.45708026328909968,0.36444827072137936,0.16782952356599357
2023,3141207,Matutina,MG,Sudeste,0,0,Municipal,23,21,2,0.9130434782608694,3741,23247.527399091152,0.30254246562017434,0.17323054849652858,0.26007076590104933,0.26415621998224775
2023,3141306,Medeiros,MG,Sudeste,0,0,Municipal,36,30,6,0.83333333333333315,3832,46593.68475991649,0.6262951384274,0.046500742555662784,0.19505810425828224,0.13214601475865495
2023,3141405,Medina,MG,Sudeste,0,0,Estadual,14,13,1,0.92857142857142849,20759,10989.980249530325,0.057017768566172189,0.084595142171817142,0.46467944388812554,0.39370764537388508
2023,3141405,Medina,MG,Sudeste,0,0,Municipal,166,115,51,0.69277108433734935,20759,10989.980249530325,0.057017768566172189,0.084595142171817142,0.46467944388812554,0.39370764537388508
2023,3141504,Mendes Pimentel,MG,Sudeste,0,0,Municipal,40,31,9,0.7749999999999998,6446,11325.318026683215,0.11427382677436479,0.10491958508486249,0.3539260555802643,0.42688053256050845
2023,3141603,Mercês,MG,Sudeste,0,0,Municipal,68,67,1,0.98529411764705888,10758,12625.395054842907,0.1240669220422707,0.10079208388066041,0.42048091368881407,0.35466008038825481
2023,3141702,Mesquita,MG,Sudeste,0,0,Municipal,31,16,15,0.51612903225806439,5546,9355.3912729895419,0.12234614618601872,0.027942640908185622,0.33453495319657439,0.51515634335789684
2023,3141801,Minas Novas,MG,Sudeste,0,0,Municipal,297,211,86,0.71043771043771109,31497,10614.75696098041,0.26239127348153268,0.040700294464438944,0.29280691898832639,0.40410151306570197
2023,3141900,Minduri,MG,Sudeste,0,0,Municipal,39,21,18,0.53846153846153855,3893,31784.484973028513,0.39202415483520769,0.18400251047444574,0.25588180414906792,0.16809153054127865
2023,3142007,Mirabela,MG,Sudeste,0,0,Estadual,15,13,2,0.86666666666666659,13620,11422.760646108663,0.083859010879637569,0.045337543329786865,0.42480008236949585,0.44600336342107971
2023,3142007,Mirabela,MG,Sudeste,0,0,Municipal,70,40,30,0.5714285714285714,13620,11422.760646108663,0.083859010879637569,0.045337543329786865,0.42480008236949585,0.44600336342107971
2023,3142106,Miradouro,MG,Sudeste,0,0,Municipal,47,22,25,0.46808510638297857,10787,13339.390006489293,0.16794310318087488,0.042310731667688312,0.42870542011624557,0.36104074503519124
2023,3142205,Miraí,MG,Sudeste,0,0,Estadual,13,11,2,0.84615384615384615,15111,17026.272252001854,0.045743437497334047,0.30878099966728945,0.3812308584785743,0.26424470435680225
2023,3142205,Miraí,MG,Sudeste,0,0,Municipal,64,61,3,0.95312499999999989,15111,17026.272252001854,0.045743437497334047,0.30878099966728945,0.3812308584785743,0.26424470435680225
2023,3142254,Miravânia,MG,Sudeste,0,0,Estadual,18,9,9,0.5,4914,8250.91575091575,0.078432866138533411,0.030139142799106237,0.26828153564899454,0.62314645541336589
2023,3142254,Miravânia,MG,Sudeste,0,0,Municipal,21,9,12,0.4285714285714286,4914,8250.91575091575,0.078432866138533411,0.030139142799106237,0.26828153564899454,0.62314645541336589
2023,3142304,Moeda,MG,Sudeste,0,0,Municipal,80,63,17,0.78749999999999987,4934,14192.946899067694,0.047712186782892609,0.082841785895797077,0.47784571314164265,0.39158491321556732
2023,3142403,Moema,MG,Sudeste,0,0,Municipal,85,69,16,0.81176470588235294,7554,16316.785808842997,0.14347007115948096,0.054878261476210409,0.48570706013673781,0.31594460722757078
2023,3142601,Monsenhor Paulo,MG,Sudeste,0,0,Municipal,93,59,34,0.634408602150537,8727,21991.749742179443,0.21261255162142034,0.1925507187507052,0.3788730169476226,0.21596371268025186
2023,3142700,Montalvânia,MG,Sudeste,0,0,Estadual,75,42,33,0.56,14747,9676.8834339187633,0.10631624565707612,0.047729927060914785,0.38468940289846554,0.46126442438354354
2023,3142700,Montalvânia,MG,Sudeste,0,0,Municipal,72,35,37,0.4861111111111111,14747,9676.8834339187633,0.10631624565707612,0.047729927060914785,0.38468940289846554,0.46126442438354354
2023,3142809,Monte Alegre de Minas,MG,Sudeste,0,0,Municipal,143,105,38,0.73426573426573438,21236,28925.880580146921,0.43953837054154804,0.051833587807260072,0.34051362467159108,0.16811441697960083
2023,3142908,Monte Azul,MG,Sudeste,0,0,Estadual,182,157,25,0.8626373626373629,20696,11108.475067645923,0.0739852305260304,0.050571892045898417,0.46079931621103715,0.41464356121703405
2023,3142908,Monte Azul,MG,Sudeste,0,0,Municipal,10,8,2,0.79999999999999993,20696,11108.475067645923,0.0739852305260304,0.050571892045898417,0.46079931621103715,0.41464356121703405
2023,3143005,Monte Belo,MG,Sudeste,0,0,Municipal,26,13,13,0.5,13152,24485.097323600974,0.15611870530067035,0.20266382599981078,0.42356655535270638,0.2176509133468125
2023,3143104,Monte Carmelo,MG,Sudeste,0,0,Estadual,309,218,91,0.70550161812297729,47931,26616.761594792515,0.199517416886787,0.065109051192961662,0.54341307682954276,0.19196045509070855
